code,areaName,-8,1,2,3,4,5,6,7,8,9
17168,24047,12676,11394,4705,9383,7044,4340,4946,E14000753,Horsham,22291
5737,12627,10086,5430,5130,10912,10921,9416,3763,E14000754,Houghton and Sunderland South,15696
15127,20820,8948,11122,3341,7825,6037,5682,5675,E14000755,Hove,16958
7092,13164,7697,6584,4174,9222,11000,9135,9206,E14000756,Huddersfield,18665
16012,22630,13128,9522,5780,11175,11767,5611,4522,E14000757,Huntingdon,22396
5727,12960,8577,7464,4962,10495,11543,8537,4772,E14000758,Hyndburn,18988
13531,17369,10333,13235,3285,8375,6894,9586,8531,E14000759,Ilford North,24122
12223,17782,11185,14977,3899,11188,9901,17652,13274,E14000760,Ilford South,35271
9062,17275,11168,8154,5436,12912,14444,7711,5867,E14000761,Ipswich,22788
11430,23779,13893,17090,7444,18260,13797,9019,4873,E14000762,Isle of Wight,20873
20849,21981,7143,7713,3075,6308,7018,9521,8588,E14000763,Islington North,17632
22743,18593,6624,7135,2759,6271,6396,9100,11808,E14000764,Islington South and Finsbury,15331
6266,12690,9107,4635,4653,9791,9990,7907,3642,E14000765,Jarrow,15161
10286,15663,8919,8942,4280,9252,9977,7664,4948,E14000766,Keighley,19449
16144,17831,8571,8831,3453,6187,5673,3498,6235,E14000767,Kenilworth and Southam,15523
23288,17821,6062,10105,2233,5921,5440,9893,10717,E14000768,Kensington,15468
9484,16956,10435,8949,5083,10479,13983,5391,4223,E14000769,Kettering,20840
19482,23116,10774,11109,3734,8333,6867,7185,10395,E14000770,Kingston and Surbiton,23162
3804,10411,8047,4996,5763,12213,15025,8847,4047,E14000771,Kingston upon Hull East,18160
4774,11843,7553,5222,5598,11043,15268,9108,9915,E14000772,Kingston upon Hull North,20642
4694,11259,7531,5679,5407,10680,15040,8713,4274,E14000773,Kingston upon Hull West and Hessle,16944
5961,14409,11957,7387,5189,12614,14513,12100,5012,E14000775,Knowsley,22263
7987,13208,7306,7188,3954,8295,8085,6041,14385,E14000776,Lancaster and Fleetwood,14028
10147,15230,10374,7152,5278,12689,18225,13419,30601,E14000777,Leeds Central,28772
6535,12509,9904,6969,4678,10708,12941,10332,6080,E14000778,Leeds East,24232
15577,17834,8466,7176,2668,6874,5915,6898,5546,E14000779,Leeds North East,19226
11932,14774,7409,5845,2595,5733,5211,4313,17236,E14000780,Leeds North West,12291
7523,14161,9721,6216,4793,10080,12733,8157,7006,E14000781,Leeds West,18655
8530,13199,8638,6747,3854,9565,16767,13185,23248,E14000783,Leicester South,24527
5328,10986,8150,6304,4692,11226,19297,10516,11525,E14000784,Leicester West,25145
8583,17445,11539,8840,5705,11371,12905,7965,4488,E14000785,Leigh,20271
11495,17687,9226,10873,3743,8215,6547,4555,3734,E14000786,Lewes,14859
13399,18962,8748,9229,3692,8789,8033,8923,7088,E14000787,Lewisham East,22278
16411,22422,9313,9001,3494,7820,6996,7653,6164,E14000788,Lewisham West and Penge,22552
19138,24842,8971,9163,4249,8947,9375,9530,11048,E14000789,Lewisham Deptford,22620
13373,18666,7923,11779,3635,7278,7698,9267,7353,E14000790,Leyton and Wanstead,20711
12593,19095,9599,9042,4609,8834,9226,5011,3898,E14000791,Lichfield,16719
8061,16106,10224,7651,5695,12479,14162,7427,16468,E14000792,Lincoln,19098
11608,16843,8881,6086,3624,8560,10375,12069,32311,E14000793,Liverpool Riverside,14988
3785,10313,9390,5860,4114,10706,13676,11706,6253,E14000794,Liverpool Walton,17509
7434,13435,8259,5731,3285,7757,8765,9348,11899,E14000795,Liverpool Wavertree,16200
5279,12516,9620,6486,3991,10220,11848,10468,5323,E14000796,Liverpool West Derby,19028
7065,16289,9415,12156,5980,12385,11767,7933,3178,E14000798,Louth and Horncastle,14550
9489,15519,7867,12628,4005,8531,7967,4480,2802,E14000799,Ludlow,12084
7251,13917,9770,10506,5141,10958,15001,12593,10635,E14000801,Luton South,27733
9395,15781,8274,9970,3649,8617,7384,6553,10095,E14000597,Brighton Kemptown,13940
12702,18619,11159,8614,5343,11700,13685,7676,5494,E14000601,Bristol South,23149
10359,16552,11596,11031,4593,9168,9704,6356,4791,E14000606,Broxbourne,20499
12474,17230,9696,6840,4455,8118,9631,5263,6751,E14000607,Broxtowe,15857
8971,15811,9614,8548,6018,11126,18211,7633,5006,E14000610,Burton,21593
6286,12996,8430,6482,4974,9994,13704,6038,3995,E14000620,Carlisle,15317
12039,18290,11207,9452,3930,8253,7218,6265,5589,E14000621,Carshalton and Wallington,22441
10843,17248,8592,14102,4278,8798,8379,3972,3477,E14000623,Central Devon,15772
11222,19531,11257,10402,6817,12029,20533,6422,5414,E14000648,Corby,25838
6972,13888,9361,5822,4575,10230,12247,8152,4007,E14000658,Darlington,16942
13195,20782,13195,10523,5455,10389,10306,6502,5396,E14000659,Dartford,26941
5569,11867,8748,5935,4409,9684,10205,6351,3619,E14000672,Dudley South,15203
11535,17917,10995,15821,5411,14142,13948,21510,16722,E14000679,East Ham,38953
15466,19987,9424,11714,4224,8752,6957,4131,4292,E14000680,East Hampshire,18104
9254,19372,11454,11039,5009,12663,9785,7272,5327,E14000684,Eastbourne,18069
14440,17850,8649,12572,2983,6613,6369,8140,5834,E14000692,Enfield Southgate,19508
8290,15565,10675,9495,4881,11621,11124,10651,8581,E14000696,Erith and Thamesmead,27418
3748,9755,6439,5239,5416,10172,15971,8149,3908,E14000716,Great Grimsby,17355
18098,19957,9084,9415,3383,7093,5969,4140,15552,E14000719,Guildford,18659
19812,23298,7735,9292,3600,8323,9242,12349,10359,E14000721,Hackney South and Shoreditch,20923
15198,18111,9917,12086,3338,8131,7518,10279,8900,E14000732,Harrow West,23467
20940,21193,7468,9203,3067,7454,6714,11544,20742,E14000750,Holborn and St Pancras,18305
22801,25452,7532,12708,3529,6801,7415,9075,7794,E14000752,Hornsey and Wood Green,21497
9535,15895,11062,7597,4417,9288,8973,4020,3626,E14000774,Kingswood,16985
5747,11307,9590,7195,4466,11711,25072,15397,8770,E14000782,Leicester East,27885
11289,16266,9045,7227,4963,8810,10816,5834,17627,E14000797,Loughborough,17266
6932,13761,9474,9192,4182,9662,11363,10468,7713,E14000800,Luton North,26005
14624,19157,9617,9150,3838,7898,7096,4636,3596,E14000802,Macclesfield,15959
20177,21058,9919,10132,3491,6771,5568,5067,4641,E14000803,Maidenhead,21123
12350,20375,11826,11044,4969,9679,10840,5953,4867,E14000804,Maidstone and The Weald,21262
7110,15562,10377,7290,5651,10583,13475,7420,4267,E14000805,Makerfield,17957
14740,20247,10766,7400,4761,11176,14606,14505,30593,E14000807,Manchester Central,27507
7081,12167,7637,7635,3477,8566,11029,15289,20669,E14000808,Manchester Gorton,26682
16279,18062,7634,6095,2389,5837,6223,7151,13987,E14000809,Manchester Withington,16612
6770,14928,9800,8111,6897,13622,17531,8518,3992,E14000810,Mansfield,20312
14127,19528,10000,10572,4201,8578,6559,4297,3671,E14000811,Meon Valley,16662
14275,18738,11418,8151,4923,10745,10390,7630,5239,E14000812,Meriden,23090
17013,24436,12904,11619,5107,8643,8426,4505,5922,E14000813,Mid Bedfordshire,24439
10795,16436,9056,6378,4646,7869,7566,3850,3524,E14000814,Mid Derbyshire,13822
10079,16359,9453,8022,3864,8480,6839,3561,3469,E14000815,Mid Dorset and North Poole,14279
9951,18769,11667,11824,5822,12442,12416,5837,3897,E14000816,Mid Norfolk,18748
17542,23573,12580,10749,4496,9339,6856,4129,4410,E14000817,Mid Sussex,21981
12843,18842,10532,11343,5264,10360,11163,5322,3946,E14000818,Mid Worcestershire,18129
4045,10059,7402,5231,4280,10559,12242,13089,9275,E14000819,Middlesbrough,20891
17304,22691,13443,10455,5450,11434,14761,7181,7637,E14000821,Milton Keynes North,29603
17608,23519,14621,10010,5761,12299,14663,8126,7869,E14000822,Milton Keynes South,32626
10860,17302,9931,12553,4371,10131,9536,9187,7446,E14000823,Mitcham and Morden,22654
17018,19500,9658,11489,3244,6309,4851,4050,4144,E14000824,Mole Valley,16393
6935,14145,8642,8061,5030,11026,10026,6057,3753,E14000825,Morecambe and Lunesdale,15626
11656,18556,12268,7860,5071,9357,10977,5711,4104,E14000826,Morley and Outwood,19060
10784,16323,8983,10648,3934,8917,6462,4204,2858,E14000828,New Forest West,11893
12348,18431,9668,10175,4805,9597,11332,6258,4620,E14000829,Newark,17324
8098,10894,6865,6073,3675,8464,10276,12294,16295,E14000831,Newcastle upon Tyne Central,20822
11294,16148,9920,5815,4203,9556,9538,7834,4994,E14000833,Newcastle upon Tyne North,18283
7438,13446,8481,6236,4390,8956,11478,5424,8128,E14000834,Newcastle-under-Lyme,14710
9093,16981,9525,10566,4766,10846,9099,4757,3236,E14000835,Newton Abbot,14647
7616,16279,11300,7224,7594,12887,20200,8795,4130,E14000836,Normanton Pontefract and Castleford,22238
7156,14297,7582,14589,4992,10602,10043,4902,3232,E14000837,North Cornwall,15631
10845,18152,9894,12539,4832,9191,8889,4190,3777,E14000839,North Dorset,15927
6504,13097,9189,5747,4899,10346,10821,7971,3802,E14000840,North Durham,14957
16785,23890,13259,11725,5269,9670,9197,4884,4690,E14000841,North East Bedfordshire,24518
8378,17072,11535,11710,7098,13621,18124,8233,3936,E14000842,North East Cambridgeshire,21132
8935,15602,9668,8262,4860,10266,10703,5769,3349,E14000843,North East Derbyshire,15210
19475,21788,10658,9828,3532,7110,5258,3515,4188,E14000844,North East Hampshire,20556
15143,19087,10148,10149,4168,8565,7714,4484,3895,E14000845,North East Hertfordshire,19439
12142,17513,9724,9899,4413,8857,8759,3732,5343,E14000846,North East Somerset,17984
10092,16421,8104,12967,3962,8912,7984,4433,3167,E14000847,North Herefordshire,13450
7651,14565,8265,11943,4648,10652,9005,5173,2478,E14000848,North Norfolk,11241
10308,18754,10370,12725,5582,11526,12472,5990,4465,E14000849,North Shropshire,17965
15896,20896,10937,9586,3986,8632,7237,3702,4017,E14000850,North Somerset,18277
11873,18841,13252,8823,6404,12893,13420,6259,4772,E14000851,North Swindon,24679
7532,16342,10136,10855,4828,11906,9334,7270,3972,E14000852,North Thanet,17173
8865,16998,12976,6212,5427,12319,12173,9459,4246,E14000853,North Tyneside,18969
15983,24633,15258,11672,6386,12133,15134,6945,5645,E14000855,North West Cambridgeshire,29027
7343,15072,8953,7489,5221,10959,10989,7866,3653,E14000856,North West Durham,16349
15813,20926,12092,10146,5262,9876,10198,4732,3971,E14000857,North West Hampshire,21517
11172,17822,10002,8672,6081,9618,12965,5090,4741,E14000858,North West Leicestershire,18540
7309,15162,9268,9994,5844,12077,13296,6377,3120,E14000859,North West Norfolk,16235
14100,18857,10695,10231,4449,7983,7703,4065,3957,E14000860,North Wiltshire,17839
7774,13999,9608,9057,4619,9464,16397,6857,8221,E14000862,Northampton South,20832
