code,areaName,-8,0,1,2,3,4,5,6
22804,9899,11860,5081,13716,19449,2439,E14000871,Oldham West and Royton,26776
11474,7333,11042,3498,11587,27750,2038,E14000872,Orpington,18104
15517,7495,8701,3441,24281,48993,2749,E14000873,Oxford East,20280
10556,6353,9144,3771,12934,44882,2027,E14000874,Oxford West and Abingdon,18369
18639,8006,9740,4852,12521,19085,2379,E14000875,Pendle,20535
12733,7098,10215,4863,12196,22944,1687,E14000877,Penrith and The Border,12691
25919,13387,14271,5757,14304,24024,4238,E14000878,Peterborough,29248
16336,8575,11655,6253,14892,17125,1992,E14000879,Plymouth Moor View,18516
14711,8421,12142,5557,22654,29471,2166,E14000880,Plymouth Sutton and Devonport,17534
13868,8429,12161,5191,14184,26812,2377,E14000881,Poole,16995
20752,9162,11333,2976,16962,70248,3894,E14000882,Poplar and Limehouse,31959
15796,8815,11937,5297,14816,21308,2242,E14000883,Portsmouth North,19922
13970,7618,10468,3796,22480,29882,2396,E14000884,Portsmouth South,17261
17408,7768,10026,4036,14442,20509,2531,E14000885,Preston,19228
8633,4093,6271,1910,9972,49828,2212,E14000887,Putney,17869
15635,10640,14420,5224,15314,18827,2419,E14000888,Rayleigh and Wickford,17605
13076,7932,10004,3687,18086,43360,2640,E14000889,Reading East,21776
15975,9922,11735,4770,13535,31001,2827,E14000890,Reading West,22631
16315,7270,10078,5535,13670,16662,1905,E14000891,Redcar,15977
15257,8631,11724,4415,12980,20201,2192,E14000892,Redditch,17649
11015,7407,11845,3452,13548,36096,2146,E14000893,Reigate,21957
12291,7427,11569,6122,15537,31029,1790,E14000894,Ribble Valley,17294
13580,8079,12306,6001,15980,30787,2078,E14000895,Richmond Yorks,16207
7999,4229,7970,1993,10662,61093,2076,E14000896,Richmond Park,25390
21627,9339,11985,4979,14570,22778,2780,E14000897,Rochdale,26331
17538,10975,14634,5596,16813,25335,2699,E14000898,Rochester and Strood,23058
17844,10821,13789,4298,14823,21360,2560,E14000899,Rochford and Southend East,20377
10208,6331,9376,3716,15527,29780,1924,E14000901,Romsey and Southampton North,15065
14731,7839,11547,5234,14707,24933,1812,E14000902,Rossendale and Darwen,18620
16277,8875,12444,5520,14434,21239,2108,E14000903,Rother Valley,18132
19977,8728,11105,4725,11276,14798,2072,E14000904,Rotherham,17936
